"id","text","cycle4_3e","cycle4_4e","cycle4_5e","cycle3_6e"
"id0","E e p u o r g u d n o i t i d É Table des matières  Zone...................................................................... 6  Le pont Mirabeau................................................ 13  La Chanson du Mal-Aimé ................................... 15  Aubade chantée à Laetare l'an passé ........................ 19 Beaucoup de ces dieux... .......................................... 20 Réponse  des  Cosaques  Zaporogues  au  Sultan  de Constantinople ......................................................... 22 Voie lactée { 1}........................................................... 23 Les sept épées........................................................... 27 Voie lactée { 2} .......................................................... 29 Les colchiques .................................................... 32  Palais .................................................................. 33  Chantre................................................................35  Crépuscule.......................................................... 36  Annie ...................................................................37  La maison des morts.......................................... 38  Clotilde ................................................................ 47  Cortège ............................................................... 48  Marizibill............................................................. 51  Le voyageur .........................................................52   Marie ...................................................................55 La blanche neige ................................................. 57  Poème lu au mariage d'André Salmon .............. 58  L'Adieu ............................................................... 60  Salomé................................................................. 61  La porte .............................................................. 62  Merlin et la vieille femme .................................. 63  Saltimbanques ................................................... 66  Le larron..............................................................67  Le vent nocturne ................................................. 73  Lul de Faltenin ....................................................74 La tzigane ............................................................76",1,0,0,0
"id1","Le pont Mirabeau................................................ 13  La Chanson du Mal-Aimé ................................... 15  Aubade chantée à Laetare l'an passé ........................ 19 Beaucoup de ces dieux... .......................................... 20 Réponse  des  Cosaques  Zaporogues  au  Sultan  de Constantinople ......................................................... 22 Voie lactée { 1}........................................................... 23 Les sept épées........................................................... 27 Voie lactée { 2} .......................................................... 29 Les colchiques .................................................... 32  Palais .................................................................. 33  Chantre................................................................35  Crépuscule.......................................................... 36  Annie ...................................................................37  La maison des morts.......................................... 38  Clotilde ................................................................ 47  Cortège ............................................................... 48  Marizibill............................................................. 51  Le voyageur .........................................................52   Marie ...................................................................55 La blanche neige ................................................. 57  Poème lu au mariage d'André Salmon .............. 58  L'Adieu ............................................................... 60  Salomé................................................................. 61  La porte .............................................................. 62  Merlin et la vieille femme .................................. 63  Saltimbanques ................................................... 66  Le larron..............................................................67  Le vent nocturne ................................................. 73  Lul de Faltenin ....................................................74 La tzigane ............................................................76  L'ermite ...............................................................77  Automne............................................................. 82  L'Émigrant de Landor Road .............................. 83  Rosemonde ........................................................ 86  Le brasier ........................................................... 87  Je flambe dans le brasier ......................................... 89",1,0,0,0
"id2","La blanche neige ................................................. 57  Poème lu au mariage d'André Salmon .............. 58  L'Adieu ............................................................... 60  Salomé................................................................. 61  La porte .............................................................. 62  Merlin et la vieille femme .................................. 63  Saltimbanques ................................................... 66  Le larron..............................................................67  Le vent nocturne ................................................. 73  Lul de Faltenin ....................................................74 La tzigane ............................................................76  L'ermite ...............................................................77  Automne............................................................. 82  L'Émigrant de Landor Road .............................. 83  Rosemonde ........................................................ 86  Le brasier ........................................................... 87  Je flambe dans le brasier ......................................... 89 Descendant des hauteurs ......................................... 90  Rhenanes............................................................ 92   Nuit rhénane ............................................................ 93 Mai............................................................................ 94 La synagogue............................................................ 95 Les cloches................................................................ 96 La Loreley................................................................. 97 Schinderhannes........................................................ 99 Rhénane d'automne ................................................ 101 Les sapins ............................................................... 104 Les femmes............................................................. 106  Signe................................................................. 108 Un soir...............................................................109  La dame............................................................. 110 Les fiançailles.....................................................111  Mes amis m'ont enfin avoué leur mépris................ 112 Je n'ai plus même pitié de moi ............................... 113 J'ai eu le courage de regarder en arrière................. 114 Pardonnez -moi mon ignorance .............................. 115",1,0,0,0
"id3","Mai............................................................................ 94 La synagogue............................................................ 95 Les cloches................................................................ 96 La Loreley................................................................. 97 Schinderhannes........................................................ 99 Rhénane d'automne ................................................ 101 Les sapins ............................................................... 104 Les femmes............................................................. 106  Signe................................................................. 108 Un soir...............................................................109  La dame............................................................. 110 Les fiançailles.....................................................111  Mes amis m'ont enfin avoué leur mépris................ 112 Je n'ai plus même pitié de moi ............................... 113 J'ai eu le courage de regarder en arrière................. 114 Pardonnez -moi mon ignorance .............................. 115 J'observe le repos du dimanche.............................. 116 A la fin les mensonges ne me font plus peur .......... 117 Au tournant d'une rue je vis des matelots .............. 118 Templiers flamboyants je brûle parmi vous ........... 119  Clair de lune ......................................................120   A la Santé ..........................................................123   Automne malade...............................................126  Hôtels ................................................................ 127  Cors de chasse...................................................129  Vendémiaire......................................................130  À propos de cette édition électronique.............138     ZONE  À la fin tu es las de ce monde ancien",1,0,0,0
"id4","Hôtels ................................................................ 127  Cors de chasse................................................... 129  Vendémiaire......................................................130  À propos de cette édition électronique............. 138     ZONE  À la fin tu es las de ce monde ancien  Bergère ô tour Eiffel le troupeau des ponts bêle ce matin  Tu en as assez de vivre dans l'antiquité grecque et romaine Ici même les automobiles ont l'air d'être anciennes La religion seule est restée toute neuve la religion Est restée simple comme les hangars de Port-Aviation  Seul en Europe tu n'es pas antique ô Christianisme L'Européen le plus moderne c'est vous Pape Pie X Et toi que les fenêtres observent la honte te retient D'entrer dans une église et de t'y confesser ce matin Tu lis les prospectus les catalogues les affiches qui chantent tout haut Voilà la poésie ce matin et pour la prose il y a les journaux Il y a les livraisons à 25 centimes pleines d'aventures policières",1,0,0,0
"id5","Portraits des grands hommes et mille titres divers J'ai vu ce matin une jolie rue dont j'ai oublié le nom Neuve et propre du soleil elle était le clairon Les directeurs les ouvriers et les belles sténo -dactylographes Du lundi matin au samedi soir quatre fois par jour y passent Le matin par trois fois la sirène y gémit Une cloche rageuse y aboie vers midi   Les inscriptions des enseignes et des murailles Les plaques les avis à la façon des perroquets criaillent J'aime la grâce de cette rue industrielle Située à Paris entre la rue Aumont -Thiéville et l'avenue des Ternes  Voilà la jeune rue et tu n'es encore qu'un petit enfant Ta mère ne t'habille que de bleu et de blanc Tu es très pieux et avec le plus ancien de tes camarades René Dalize Vous n'aimez rien tant que les pompes de l'Église",1,0,0,0
"id6","Il détient le record du monde pour la hauteur  Pupille Christ de l'œil Vingtième pupille des siècles il sait y faire Et changé en oiseau ce siècle comme Jésus monte dans l'air Les diables dans les abîmes lèvent la tête pour le regarder   Ils disent qu'il imite Simon Mage en Judée Ils crient s'il sait voler qu'on l'appelle voleur Les anges voltigent autour du joli voltigeur Icare Enoch Elie Apollonius de Thyane Flottent autour du premier aéroplane Ils s'écartent parfois pour laisser passer ceux que transporte la Sainte -Eucharistie Ces prêtres qui montent éternellement élevant l'hostie L'avion se pose enfin sans refermer les ailes Le ciel s'emplit alors de millions d'hirondelles À tire-d'aile viennent les corbeaux les faucons les hiboux D'Afrique arrivent les ibis les flamants les marabouts L'oiseau Roc célébré par les conteurs et les poètes Plane tenant dans les serres le crâne d'Adam la première tête",1,0,0,0
"id7","Maintenant tu marches dans Paris tout seul parmi la foule Des troupeaux d'autobus mugissants près de toi roulent L'angoisse de l'amour te serre le gosier Comme si tu ne devais jamais plus être aimé   Si tu vivais dans l'ancien temps tu entrerais dans un monastère Vous avez honte quand vous vous surprenez à dire une prière Tu te moques de toi et comme le feu de l'Enfer ton rire pétille Les étincelles de ton rire dorent le fond de ta vie C'est un tableau pendu dans un sombre musée Et quelquefois tu vas le regarder de près  Aujourd'hui tu marches dans Paris les femmes sont ensanglantées C'était et je voudrais ne pas m'en souvenir c'était au déclin de la beauté  Entourée de flammes ferventes Notre-Dame m'a regardé à Chartres Le sang de votre Sacré -Cœur m'a inondé à Montmartre",1,0,0,0
"id8","Tu te sens tout heureux une rose est sur la table   Et tu observes au lieu d'écrire ton conte en prose La cétoine qui dort dans le cœur de la rose  Épouvanté tu te vois dessiné dans les agates de Saint-Vit Tu étais triste à mourir le jour où tu t'y vis Tu ressembles au Lazare affolé par le jour Les aiguilles de l'horloge du quartier juif vont à rebours Et tu recules aussi dans ta vie lentement En montant au Hradchin et le soir en écoutant Dans les tavernes chanter des chansons tchèques  Te voici à Marseille au milieu des pastèques  Te voici à Coblence à l'hôtel du Géant  Te voici à Rome assis sous un néflier du Japon  Te voici à Amsterdam avec une jeune fille que tu trouves belle et qui est laide Elle doit se marier avec un étudiant de Leyde",1,0,0,0
"id9","J'ai vécu comme un fou et j'ai perdu mon temps  Tu n'oses plus regarder tes mains et à tous moments je voudrais sangloter Sur toi sur celle que j'aime sur tout ce qui t'a épouvanté Tu regardes les yeux pleins de larmes ces pauvres émigrants Ils croient en Dieu ils prient les femmes allaitent des enfants Ils emplissent de leur odeur le hall de la gare Saint -Lazare Ils ont foi dans leur étoile comme les rois-mages Ils espèrent gagner de l'argent dans l'Argentine Et revenir dans leur pays après avoir fait fortune Une famille transporte un édredon rouge comme vous transportez votre cœur Cet édredon et nos rêves sont aussi irréels Quelques-uns de ces émigrants restent ici et se logent Rue des Rosiers ou rue des Écouffes dans des bouges Je les ai vus souvent le soir ils prennent l'air dans la rue",1,0,0,0
