ortho	old20	pld20
a	1.0	1.0
a capella	3.85	2.85
a cappella	4.6	2.85
a contrario	4.3	3.3
a fortiori	4.4	3.95
a giorno	3.85	3.85
a jeun	2.9	1.6
a l'instar	4.8	3.0
a posteriori	4.7	4.8
a priori	3.8	3.25
aa	1.0	1.0
ab absurdo	5.05	4.45
ab initio	4.3	3.1
ab ovo	3.0	2.35
abaca	2.0	1.9
abaissa	1.75	1.55
abaissai	1.85	1.5
abaissaient	1.9	1.5
abaissait	1.8	1.5
abaissant	1.75	1.45
abaissante	2.5	1.9
abaisse	1.6	1.4
abaisse-langue	6.3	2.85
abaissement	2.25	
abaissent	1.85	1.4
abaisser	1.7	1.8
abaissera	1.8	
abaisserai	2.05	
abaisseraient	2.55	
abaisserais	2.25	
abaisserait	2.15	
abaisses	1.65	1.4
abaissez	1.75	1.6
abaissons	1.95	1.65
abaissèrent	2.45	1.85
abaissé	1.7	1.8
abaissée	1.7	1.8
abaissées	1.75	1.8
abaissés	1.75	1.8
abalone	2.8	2.15
abalones	2.75	2.15
abandon	2.6	1.95
abandonna	2.0	2.0
abandonnai	2.1	1.8
abandonnaient	2.85	1.8
abandonnais	2.35	1.8
abandonnait	2.35	1.8
abandonnant	2.45	2.1
abandonnas	1.9	2.0
abandonne	1.85	2.1
abandonnent	2.35	2.1
abandonner	1.85	1.8
abandonnera	2.25	
abandonnerai	2.45	
abandonneraient	3.4	
abandonnerais	2.65	
abandonnerait	2.65	
abandonneras	2.35	
abandonnerez	2.6	
abandonneriez	3.15	3.5
abandonnerions	3.4	3.5
abandonnerons	2.75	
abandonneront	2.8	
abandonnes	1.7	2.1
abandonneurs	2.75	2.4
abandonnez	2.0	1.8
abandonniez	2.55	2.35
abandonnions	2.85	2.25
abandonnique	3.8	2.5
abandonnons	2.5	2.05
abandonnâmes	3.1	2.45
abandonnât	2.35	2.0
abandonnèrent	3.3	2.4
abandonné	2.15	1.8
abandonnée	2.15	1.8
abandonnées	2.2	1.8
abandonnés	2.05	1.8
abandons	2.3	1.95
abaque	2.0	1.55
abasourdi	2.95	3.1
abasourdie	2.95	3.1
abasourdir	3.2	3.35
abasourdis	3.0	3.1
abasourdissant	3.5	3.6
abasourdissants	4.1	3.6
abat	1.8	1.0
abat-jour	3.8	2.45
abat-son	3.4	1.75
abatage	2.1	1.95
abatis	1.85	1.25
abats	1.75	1.0
abattage	2.2	1.95
abattages	2.35	1.95
abattaient	1.95	1.3
abattais	1.75	1.3
abattait	1.65	1.3
abattant	1.7	1.35
abattants	2.3	1.35
abatte	1.65	1.2
abattement	2.5	
abattements	2.6	
abattent	1.8	1.2
abattes	1.7	1.2
abatteur	1.9	1.7
abatteurs	2.15	1.7
abattez	1.7	1.35
abattiez	1.9	1.75
abattions	1.95	1.7
abattirent	2.45	1.6
abattis	1.65	1.25
abattit	1.75	1.25
abattoir	2.35	1.9
abattoirs	2.45	1.9
abattons	1.8	1.2
abattra	1.75	1.6
abattrai	1.95	1.55
abattraient	2.45	1.55
abattrais	1.85	1.55
abattrait	1.75	1.55
abattras	1.75	1.6
abattre	1.65	1.1
abattrez	1.75	1.55
abattriez	2.5	2.0
abattrons	2.05	1.55
abattront	2.4	1.55
abattu	1.75	1.45
abattue	1.65	1.45
abattues	1.7	1.45
abattures	2.4	1.8
abattus	1.65	1.45
abbatial	3.5	2.5
