"id","text","level1","level2","level3","level4"
"id0","Aujourd'hui , toute la famille est allée à la fête foraine . Papa a acheté à mon frère des lunettes amusantes . Maman m' a acheté une très belle casquette bleue . Ma petite sœur , elle , a eu un suçon . En revenant à la maison , un très gros coup de vent a emporté ma casquette . Ma casquette est allée se poser sur la branche d' un vieil arbre énorme . J' ai beaucoup pleuré . J' ai même refusé de manger pour le souper . Plus tard en soirée , la lune a fait son apparition . J' avais l' impression qu' elle regardait ma casquette dans le vieil arbre . La lune a essayé ma casquette et elle a souri . J' ai souri aussi . Le lendemain , au retour de l' école , ma mère m' a donné une nouvelle casquette , mais rouge . Elle était magnifique ! "" La lune t' a envoyé t' a envoyé ceci . "" , m' a - t - elle dit . Ce soir - là , je suis sorti avec ma nouvelle casquette . La lune était là , coiffée de ma casquette bleue . J' étais heureux . Est -ce que tu crois que le soleil aurait besoin d' une casquette lui aussi ? Essaie de deviner le chapeau que je porte aujourd’hui !",1,0,0,0
"id1","Bébé babille Quelle chaussure porter ? Ta préférée ! Encore ! Encore ! J' adore ! Alors , petit glouton ? C' est bon ! J' ai tout mangé . Mon ventre va exploser ! C' est embêtant ... J' ai mal aux dents ! La glace , jamais on ne s' en lasse ! Qui se cache édredon ? sous   mon   . C' est mon petit ourson ! Nounours a disparu . Bébé est malheureux . Nounours est revenu . Bébé est heureux . Plouf ! Enfin ! C' est l' heure du bain . C' est l' heure de se coucher . Dors bien , Bébé !",1,0,0,0
"id2","-moi un beau sourire , s' il te plaît ! Un faon faisait la course dans la forêt . Il courait plus vite que le lapin . Il courait plus vite que l' éléphant . Il prit son élan et sauta par - dessus le ruisseau . Il dépassa le mur en ruines . Il y avait une grosse pierre sur la plaine herbeuse . Il trébucha dessus et tomba . Il fondit en larmes . Le singe lui massa la patte , tandis qu' il pleurait à chaudes larmes . Son ami l' ours le prit dans ses bras . Le faon continuait à pleurer . Sa mère arriva . Elle lui dit : « Écoute , nous allons frapper cette méchante pierre ! — Oh , non , sinon , elle va se mettre à pleurer elle aussi » , répondit le faon . Sa mère se mit à rire . Le faon l' imita .",1,0,0,0
"id3","Il y a longtemps , un lion , un renard , un singe et une hyène vivaient ensemble . Le singe et la hyène préparaient quelque chose contre le renard . Ils allèrent à la rencontre du lion . Le singe demanda au lion : "" Lion , tu es très respecté , mais pourquoi n' as - tu pas de chaussures ? ""   . Le lion dit : "" Tu as raison . Peuxtu me faire des chaussures ? ""   . "" Le renard peut faire des chaussures pour toi si tu veux "" , dit la hyène . "" Appelle le renard "" , dit le lion . Le renard arriva et le lion lui dit de faire des chaussures pour lui . Le renard dit : "" Les meilleures chaussures sont fabriquées à partir de peaux de singes et de hyènes . ""   . Le lion dit : "" Je veux les meilleures chaussures . "" Ainsi , il tua la hyène et le singe . Il donna leurs peaux au renard . Le renard était inquiet que le lion le tue s' il ne lui faisait pas de chaussures . Il mit les peaux dans la rivière . Le lion devint impatient . Il grogna : "" Où sont mes chaussures ? "" Le renard répondit : "" J' attends que les peaux deviennent plus souples . ""   . Le lendemain matin , le renard revint en courant de la rivière . Il dit au lion : "" Quelqu' un garde les peaux . Je ne peux pas les prendre ! ""   . Le lion courut vers la rivière . Il vit son propre reflet dans l' eau . Il sauta dans l' eau pour le combattre . Le lion coula et laissa le renard tout seul .",1,0,0,0
"id4","Un beau jour , trois petits chatons tombèrent nez à nez avec un gros chien . Les trois petits chatons eurent très peur du gros chien . Ils s' enfuirent courant . en   . Le chien poursuivit . les   . Les trois petits chatons coururent à perdre haleine . Ils percutèrent un petit oiseau . Ils continuèrent quand même à courir de toutes leurs forces . Ils faillirent tomber un garçon . faire petit   . Ils continuèrent quand même à courir de toutes leurs forces . Ils coururent jusque sur une longue planche de bois . Oh , nous ne pouvons pas aller plus loin ! »   . Le gros chien les rejoignit et leur fit un grand sourire . Un gentil chien . Quelle surprise ! Les trois chatons désormais nouvel ami . petits ont un   .",1,0,0,0
"id5","Comment t' appelles - tu ? Bonjour ! Ce petit garçon s' appelle KIYAN . Mais il a beaucoup d' autres prénoms . Maman l' appelle LADDOO . Elle dit qu' il est très mignon . Papa l' appelle VEDOO . Papa dit qu' il est rigolo . Dadi l' appelle MIAOU . Elle dit qu' il est aussi doux qu' un chat . l' appelle LAPIN . Parce qu' il n' a que deux petites dents ! l' appelle GUNDRU . Elle dit que Kiyan fait parfois des bêtises . l' appelle CINDRU ... Pourquoi ? Parce que Kiyan fait aussi des caprices ! Mais quand Kiyan fait une blague et se cache quelque part , ils sont TOUS en colère contre lui . Et ils crient ... KIYAAAAAAAAAN !   .",1,0,0,0
"id6","Bonjour ! C' est l' heure de se lever . Je ne veux PAS me lever ! Je ne veux PAS faire la grosse commission ! Je ne veux PAS me brosser les dents ! Je ne veux PAS me baigner ! Je ne veux PAS de gâteaux de riz au petit déjeuner ! Je ne veux PAS aller à l' école !   . Mais , aujourd'hui , il y a pique-nique au zoo avec ta classe ! J' AIME les gâteaux de riz avec du sucre ! Je VEUX aller à l' école ! J' AIME chanter en prenant mon bain ! Je VEUX me brosser les dents avec ma nouvelle brosse à dents !",1,0,0,0
"id7","Je m' appelle Tuktuk . J' ai une grande famille . Voici ma mère . Voici mon père . Voici mon frère Nitu et ma sœur Mitu est là aussi . Regarde ... Mes grands -parents sont venus . Ma mère a trois sœurs . Ce sont mes tatas . Mon père a quatre frères . Deux sont plus vieux que lui : ce sont ces frères aînés . Deux sont plus jeunes que lui : ce sont ces frères cadets . Voici mes tantes . Deux sont les épouses des frères aînés de mon père . Les deux autres sont les épouses des frères cadets de mon père . Il y a cinq autres enfants dans ma famille . Nous faisons beaucoup de bruit quand nous sommes tous ensemble . Regarde , nous sommes une grande famille ! J' ai complètement oublié Bujo . Toute la journée , il remue la queue et aboie ... Ouaf ouaf ! Ouaf ouaf !",1,0,0,0
"id8","Apprenons les couleurs ! -C Olivo . Une pomme est rouge . Une banane est jaune . Une feuille est verte . Une citrouille est orange . Les raisins sont noirs . Les nuages sont blancs . Une aubergine est violette . Les myrtilles sont bleues . Cette fleur est rose .",1,0,0,0
"id9","Sam était un garçon très curieux . Son cadeau de Noël attisait sa curiosité . Maman , où est mon cadeau de Noël ? » demanda Sam . Elle sourit et dit : « Il est caché dans un endroit secret , Sam . Sam tira la langue et poursuivit sa recherche auprès de son père . « Papa , où est mon cadeau de Noël ? » demanda Sam . « Il est caché dans un endroit secret , Sam » , répondit son père en souriant . « Je sais ce que je vais faire ! » dit Sam . « Je vais aller chasser le cadeau ! Il chercha derrière le bureau de son père . Et il trouva ... un paquet cadeau enveloppé d' un papier rouge . « Mais celui -ci est pour tata Juju » , dit Sam en lisant l' étiquette . Alors , il se glissa dans la chambre de ses parents . Et il trouva ... un paquet cadeau enveloppé d' un papier doré . « Pour tonton Alfie » , lit Sam sur l' étiquette à haute voix . Ensuite , il ouvrit l' armoire de sa mère . Et il trouva ... un paquet cadeau enveloppé d' un papier violet . « Pour notre fille Sophie » était écrit sur l' étiquette . Sam retourna dans sa chambre et s’ assit sur le sol en se sentant très triste . Il voulait tellement trouver son cadeau ! Et puis il vit un paquet cadeau enveloppé d' un papier argenté sous lit ! « C' est pour moi ! -t - il en lisant l' étiquette . Sam secoua la boite . Il la fit tourner entre ses mains . Qu' est -ce qu' il y avait à l' intérieur ? Oh , que cela pouvait - il être ? -il l' ouvrir ou le laisser dans l' endroit secret ? Es - tu curieux de savoir ce que Sam le curieux a fait avec son cadeau ? Il le remit sous le lit et décida d' attendre Noël .",1,0,0,0
